Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
		7/28/2016 3:38:00	0.9057000279	7/28/2016 3:38:00	0
		7/28/2016 3:39:00	0.9057000279	7/28/2016 3:39:00	0
		7/28/2016 3:40:00	0.9057000279	7/28/2016 3:40:00	0
		7/28/2016 3:41:00	0.9057000279	7/28/2016 3:41:00	0
		7/28/2016 3:42:00	0.9057000279	7/28/2016 3:42:00	0
		7/28/2016 3:43:00	0.9057000279	7/28/2016 3:43:00	0
		7/28/2016 3:44:00	0.9057000279	7/28/2016 3:44:00	0
		7/28/2016 3:45:00	0.9057000279	7/28/2016 3:45:00	0
		7/28/2016 3:46:00	0.9057000279	7/28/2016 3:46:00	0
		7/28/2016 3:47:00	0.9057000279	7/28/2016 3:47:00	0
		7/28/2016 3:48:00	0.9057000279	7/28/2016 3:48:00	0
		7/28/2016 3:49:00	0.9057000279	7/28/2016 3:49:00	0
		7/28/2016 3:50:00	0.9057000279	7/28/2016 3:50:00	0
		7/28/2016 3:51:00	0.9057000279	7/28/2016 3:51:00	0
		7/28/2016 3:52:00	0.9057000279	7/28/2016 3:52:00	0
		7/28/2016 3:53:00	0.9057000279	7/28/2016 3:53:00	0
		7/28/2016 3:54:00	0.9057000279	7/28/2016 3:54:00	0
		7/28/2016 3:55:00	0.9057000279	7/28/2016 3:55:00	0
		7/28/2016 3:56:00	0.9057000279	7/28/2016 3:56:00	0
		7/28/2016 3:57:00	0.9057000279	7/28/2016 3:57:00	0
		7/28/2016 3:58:00	0.9057000279	7/28/2016 3:58:00	0
		7/28/2016 3:59:00	0.9057000279	7/28/2016 3:59:00	0
		7/28/2016 4:00:00	0.9057000279	7/28/2016 4:00:00	0
		7/28/2016 4:01:00	0.9057000279	7/28/2016 4:01:00	0
		7/28/2016 4:02:00	0.9057000279	7/28/2016 4:02:00	0
		7/28/2016 4:03:00	0.9057000279	7/28/2016 4:03:00	0
		7/28/2016 4:04:00	0.9057000279	7/28/2016 4:04:00	0
		7/28/2016 4:05:00	0.9057000279	7/28/2016 4:05:00	0
		7/28/2016 4:06:00	0.9057000279	7/28/2016 4:06:00	0
