VO2	R
ml/min	---
	
2630.6575086689	0.9779137888
2527.0635937267	1.004940919
2630.607605098	0.9957027979
2207.8586543077	1.017220011
2174.9332298818	0.953334187
2815.6751686179	0.9605853255
2501.4026078811	1.0064859207
2531.0420925974	1.0179150654
2525.021990272	1.0027635881
2522.4659428138	0.9899689243
2583.0591394483	1.0225248477
2399.1637781222	1.0164228773
2105.4342219145	1.0112389772
2560.3481076526	0.9646708864
2387.9688537907	0.960012525
2497.5264866939	0.9656666894
2388.2567988258	0.933321128
2701.8727259355	0.9389753236
2833.3346947759	0.9642699535
2438.4360037089	0.9889032504
2276.1127682637	0.9994210502
2479.3566844895	0.9677258067
2560.4412454831	0.9482574132
2547.3174846848	0.9497930859
2543.1793756843	0.9892153311
2640.7769511984	0.9825335275
2284.8803657588	0.9927395019
2468.9482052604	0.9547834551
2498.3978252892	0.9517425603
2769.9829122245	0.9697840357
2632.2206912467	0.9751636767
2649.6244830457	0.9665838591
2386.7173638077	0.988097936
2196.8546339294	0.963122066
2685.7958523997	0.952010412
2629.8734093309	0.962391381
2820.5734598105	0.9689426777
2022.1305773814	1.0006153519
2606.7988904073	0.928194411
2740.4279167398	0.959527552
2584.6097838202	0.9628304064
2498.7922153964	0.9542395117
2540.3106625838	0.9623301208
2155.4395749088	0.9510328489
2588.8829992858	0.9037142789
2702.4215640175	0.8909948152
2407.3664593668	0.9284470874
2717.7886297447	0.9235775658
2326.9639976165	0.9300632679
2511.0241495133	0.9065995493
2691.0922793811	0.9172289433
2604.6140203728	0.9061131498
2875.9825672503	0.9386743709
2220.1850462959	0.9671154891
2453.6460572505	0.9319762237
2380.5480808902	0.9209774124
2592.8983950893	0.9331643992
2546.6141645024	0.9452834793
2674.1051661817	0.9418928959
2664.6699277011	0.9415208818
2144.8406585961	0.9749134194
2467.82776197	0.9191112336
2721.0583473429	0.9197165151
2751.4572385267	0.9583872376
2689.2722581809	0.9684958131
2495.3604088736	0.9646882265
2686.0163056026	0.9513899635
2843.2950384072	0.9562069359
2707.9867881503	0.9735400538
2541.9473313573	0.9887399649
2151.2753944789	0.9923674054
2644.1189330327	0.9505798794
2693.9634139667	0.9435613701
2662.1468349891	0.9592442068
2529.524706045	0.9572554347
2679.9569458806	0.9645307972
2231.1265726634	0.9349560184
2672.9081289274	0.9603953027
2616.2156007972	0.9436212701
2355.3626190594	0.9266508907
2533.4597106098	0.9426550573
2566.6969223461	0.9427486615
2263.0945895921	0.9550328618
2487.0872710069	0.9003714108
2820.9453557173	0.9329674825
2640.8242207148	0.9206701662
2689.8529214524	0.926142165
2273.299316593	0.9468335909
2737.5082997811	0.9335170662
2607.9012816268	0.9386738965
2487.1010429951	0.9337362689
2629.0331528757	0.9478662761
2500.24536461	0.9256333281
2746.0273894408	0.918725809
1995.5242607741	0.9633226648
1560.7773628934	0.9354089476
1566.8494050685	0.879734685
1657.0048924864	0.8960297423
1570.9564568959	0.8863868899
1827.8998642332	0.8893032253
1562.4496628583	0.8934188341
1943.4429135338	0.8819361987
2222.3755871059	0.9011084339
1522.0847635987	0.9392492515
