VO2	R
ml/min	---
	
295.6561491593	0.8221267121
319.8265254407	0.804842679
451.4922485226	0.7987744056
375.2152626821	0.7883980317
362.5272898064	0.80986631
379.2536278355	0.8084101986
291.4605346274	0.7937201081
410.1163343874	0.7704056871
278.7087350775	0.7929211996
425.6466814457	0.7957461944
506.1611822699	0.7906484859
373.436461561	0.8043785009
412.3137089278	0.8093018039
435.6738367229	0.7995367861
364.1248907339	0.8091785135
378.5231606033	0.8256279552
386.1836744348	0.8289369389
317.0438886182	0.8207030857
355.8572387397	0.8127154418
241.9955495903	0.7807158302
321.1067796687	0.7577739961
321.6071786141	0.7550574193
336.4817259138	0.7150096969
480.9250339617	0.7511349283
500.8628094435	0.7620268086
532.034174144	0.8291485539
400.6199371054	0.785220001
212.8138074181	0.8124818049
241.7064662083	0.793428329
360.0862776872	0.7818536089
639.2398453508	0.7703115629
594.0848003399	0.7259563122
1071.1129192078	0.7145696681
457.4577668145	0.6864313449
1053.1147427285	0.7062951766
717.113105741	0.7752083619
929.1579439826	0.7784732859
608.1187117726	0.7644199016
687.496076226	0.8112254804
889.9929544058	0.8025666875
884.4011992398	0.8397852291
747.8877587905	0.828600438
673.9895865174	0.826696468
854.2172873495	0.7966750467
841.4766390745	0.814152925
834.5272791535	0.8131130227
743.9809963045	0.8417033425
686.0056568438	0.7715303167
859.7834819382	0.8074108294
613.7510239864	0.8645473503
465.8431201281	0.7599088163
317.7410245354	0.7567867191
711.990570227	0.7393328161
569.2125168834	0.733533116
602.2019427005	0.7471953608
693.4796741513	0.747274787
511.8994216127	0.7240193997
454.4503316884	0.7185974378
633.7811658516	0.7107503191
370.0003068097	0.7258581179
609.3918535964	0.7295183519
470.2370441258	0.7311426438
580.4502456654	0.7427617561
581.5160732816	0.7346495611
333.1128961269	0.7429606941
634.0976619995	0.7362390684
743.3948045127	0.7506731811
640.8932046124	0.7696833722
329.7935138053	0.7954855478
498.8831293112	0.8039349779
422.6690279098	0.7932599231
354.4204319593	0.796392179
294.8994635328	0.79651304
369.1636727618	0.7913021563
483.5356477537	0.7800082057
381.3768948409	0.7753170907
383.1170016321	0.7924783902
406.3454896138	0.7996486375
391.7806807821	0.7938755196
394.7499875521	0.8046887239
443.7096651239	0.8113269752
462.4578768165	0.8124111191
428.2738778738	0.8289219339
399.1771338121	0.8231037255
384.8819476217	0.8435617771
346.9574997216	0.8498032295
272.3320569754	0.8174590244
